"patient","group","celltype","n_cells","total_cells","proportion"
"HCC01","PT","B",10,2847,0.00351246926589392
"HCC01","PT","Endothelial",362,2847,0.12715138742536
"HCC01","PT","Fibroblast",130,2847,0.045662100456621
"HCC01","PT","Hepatocyte",47,2847,0.0165086055497014
"HCC01","PT","Myeloid",1284,2847,0.45100105374078
"HCC01","PT","T/NK",1014,2847,0.356164383561644
"HCC02","PT","B",1015,4037,0.251424324993807
"HCC02","PT","Endothelial",14,4037,0.00346792172405251
"HCC02","PT","Fibroblast",13,4037,0.00322021302947733
"HCC02","PT","Hepatocyte",2123,4037,0.525885558583106
"HCC02","PT","Myeloid",501,4037,0.124102055982165
"HCC02","PT","T/NK",371,4037,0.0918999256873916
"HCC03","PT","B",51,4288,0.0118936567164179
"HCC03","PT","Endothelial",20,4288,0.00466417910447761
"HCC03","PT","Fibroblast",10,4288,0.00233208955223881
"HCC03","PT","Hepatocyte",2990,4288,0.697294776119403
"HCC03","PT","Myeloid",1032,4288,0.240671641791045
"HCC03","PT","T/NK",185,4288,0.0431436567164179
"HCC04","PT","B",16,3090,0.00517799352750809
"HCC04","PT","Endothelial",30,3090,0.00970873786407767
"HCC04","PT","Fibroblast",90,3090,0.029126213592233
"HCC04","PT","Hepatocyte",2067,3090,0.668932038834951
"HCC04","PT","Myeloid",641,3090,0.207443365695793
"HCC04","PT","T/NK",246,3090,0.0796116504854369
"HCC05","PT","B",70,2791,0.0250806162665711
"HCC05","PT","Endothelial",499,2791,0.178788964528843
"HCC05","PT","Fibroblast",156,2791,0.0558939448226442
"HCC05","PT","Hepatocyte",778,2791,0.278753135077033
"HCC05","PT","Myeloid",938,2791,0.336080257972053
"HCC05","PT","T/NK",350,2791,0.125403081332856
"HCC06","PT","B",445,4132,0.107696030977735
"HCC06","PT","Endothelial",549,4132,0.132865440464666
"HCC06","PT","Fibroblast",558,4132,0.135043562439497
"HCC06","PT","Hepatocyte",123,4132,0.0297676669893514
"HCC06","PT","Myeloid",835,4132,0.202081316553727
"HCC06","PT","T/NK",1622,4132,0.392545982575024
"HCC07","Metastasis","B",137,1614,0.0848822800495663
"HCC07","Metastasis","Endothelial",19,1614,0.0117719950433705
"HCC07","Metastasis","Fibroblast",59,1614,0.0365551425030979
"HCC07","Metastasis","Hepatocyte",84,1614,0.0520446096654275
"HCC07","Metastasis","Myeloid",1096,1614,0.67905824039653
"HCC07","Metastasis","T/NK",219,1614,0.135687732342007
"HCC07","PT","B",73,463,0.157667386609071
"HCC07","PT","Fibroblast",8,463,0.0172786177105832
"HCC07","PT","Hepatocyte",68,463,0.146868250539957
"HCC07","PT","Myeloid",221,463,0.47732181425486
"HCC07","PT","T/NK",93,463,0.200863930885529
"HCC08","Metastasis","B",28,3812,0.00734522560335782
"HCC08","Metastasis","Endothelial",51,3812,0.0133788037775446
"HCC08","Metastasis","Fibroblast",103,3812,0.0270199370409234
"HCC08","Metastasis","Hepatocyte",2893,3812,0.758919202518363
"HCC08","Metastasis","Myeloid",410,3812,0.107555089192025
"HCC08","Metastasis","T/NK",327,3812,0.0857817418677859
"HCC08","PT","B",44,4466,0.00985221674876847
"HCC08","PT","Endothelial",40,4466,0.00895656068069861
"HCC08","PT","Fibroblast",342,4466,0.0765785938199731
"HCC08","PT","Hepatocyte",1573,4466,0.352216748768473
"HCC08","PT","Myeloid",1169,4466,0.261755485893417
"HCC08","PT","T/NK",1298,4466,0.29064039408867
"HCC09","PT","B",44,2674,0.0164547494390426
"HCC09","PT","Endothelial",45,2674,0.0168287210172027
"HCC09","PT","Fibroblast",141,2674,0.0527299925205684
"HCC09","PT","Hepatocyte",1389,2674,0.519446522064323
"HCC09","PT","Myeloid",429,2674,0.160433807030666
"HCC09","PT","T/NK",626,2674,0.234106207928197
"HCC10","Metastasis","B",207,2674,0.0774121166791324
"HCC10","Metastasis","Endothelial",27,2674,0.0100972326103216
"HCC10","Metastasis","Fibroblast",62,2674,0.0231862378459237
"HCC10","Metastasis","Hepatocyte",1362,2674,0.509349289454001
"HCC10","Metastasis","Myeloid",539,2674,0.201570680628272
"HCC10","Metastasis","T/NK",477,2674,0.178384442782349
"HCC10","PT","B",29,2703,0.0107288198298187
"HCC10","PT","Endothelial",6,2703,0.00221975582685905
"HCC10","PT","Fibroblast",33,2703,0.0122086570477248
"HCC10","PT","Hepatocyte",1089,2703,0.402885682574917
"HCC10","PT","Myeloid",787,2703,0.291157972623011
"HCC10","PT","T/NK",759,2703,0.280799112097669
